# SGY_fanqie: Database of Guangyun (廣韻) 3,874 Xiaoyun Representative Characters
#
# Version: 1.1.0
# Date: 6 June 2026
# Last modified: 16 July 2026
#
# Copyright (c) 2026 IKEDA Shoju (Professor Emeritus, Hokkaido University)
# Contact: ikeda.shoju@gmail.com
#
# Data License Information and Access Rights
# License:
# Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0)
# Access Rights (Availability):
# Open access
#
# CSV Format information:
#
# hanzi                  Chinese character headword in Guangyun (廣韻の見出し字)
# hanzi_alt              Chinese character headword in Qieyun (切韻の見出し字)
# fanqie                 Fanqie in Guangyun (廣韻反切)
# fanqie_alt             Fanqie in Qieyun (切韻反切)
# entry_no               Serial entry number
# fanqie_note            Textual notes on differences among Qieyun系 documents (Qieyun, Wang I/II/III, Tangyun, Guangyun, etc.)
# volume_rhyme_yunmu_raw Volume, sequence number, and rhyme in Guangyun (廣韻の巻・序数・韻)
# volume_rhyme_yunmu     Volume, sequence number, and rhyme in Qieyun (切韻の巻・序数・韻)
# word_id                Location of the character in Guangyun (廣韻所在); corresponding ID in sbgy.xml (8-digit number excluding 'w' prefix)
# wuyun                  Traditional Five Tones classification (五音: 舌音, 唇音, etc.)
# qingzhuo               Fourfold classification of voicing (清濁: 全清, 次清, 全濁, 次濁)
# shengmu                Initial consonant (声母) based on the Thirty-Six Initials (三十六字母) system (Song Dynasty style)
# shengmu_deng           Initial consonant with division (等) number
#
# Features:
# This dataset features an independent initial consonant (声母) classification system
# separate from sbgy.xml and Guangyun.csv (see wuyun / qingzhuo / shengmu / shengmu_deng above).
# The 'fanqie_note' column enables comparative analysis with various Qieyun-lineage primary sources.
#
# Data Quality Notes:
# - The following columns present in earlier working versions of this file were derived
#   from non-original (third-party) data and have been removed as of this revision:
#   rhyme_num, tone_volume_code, rhyme_id, entry_index, entry_subindex,
#   she_kaihe_deng, fanqie_marked.
# - This dataset was compiled and revised intermittently over more than a decade.
#   During that process, a linking error caused misalignment in the 'fanqie_note'
#   column. The affected entries have been corrected to the extent currently possible,
#   but a full, systematic verification of 'fanqie_note' across the entire dataset
#   has not yet been completed. Users should treat 'fanqie_note' with corresponding
#   caution until this review is finished.
hanzi,hanzi_alt,fanqie,fanqie_alt,entry_no,fanqie_note,volume_rhyme_yunmu_raw,volume_rhyme_yunmu,word_id,wuyun,qingzhuo,shengmu,shengmu_deng
東,東,徳紅,徳紅,1,切2 王2 王3 P2016 P2017 広/切2 王2 王3 P2016 P2017 広,1:01:東,1:01:東,107b0601,舌音,全清,端,端1
同,同,徒紅,徒紅,2,切2 王2 王3 広 徒[  ] P2016 P2017,1:01:東,1:01:東,108a0402,舌音,全濁,定,定1
中,中,陟弓,陟隆,3,切2 王2 王3 P2017 陟弓 広,1:01:東,1:01:東,108b0407,舌音,全清,知,端3
蟲,蟲,直弓,直隆,4,切2 王2 王3 直[  ] P4747 直弓 広,1:01:東,1:01:東,108b0801,舌音,全濁,澄,定3
終,終,職戎,職隆,5,切2 王2 王3 P4747 職戎 広,1:01:東,1:01:東,108b0905,齒音,全清,照三,章3
忡,忡,敕中,勅中,6,王2 王3 広 初中 切2,1:01:東,1:01:東,109a0302,舌音,次清,徹,透3
崇,崇,鋤弓,鋤隆,7,切2 王2 王3 [  ]隆 P2014-1 鋤弓 広,1:01:東,1:01:東,109a0305,齒音,全濁,牀二,崇2
嵩,嵩,息弓,息隆,8,切2 王2 王3 息弓 広,1:01:東,1:01:東,109a0404,齒音,全清,心,心4
戎,戎,如融,如隆,9,王2 王3 而隆 切2 如融 広,1:01:東,1:01:東,109a0602,半齒音,清濁,日,日3
弓,弓,居戎,居隆,10,切2 王2 王3 P4747 居戎 広,1:01:東,1:01:東,109a0802,牙音,全清,見,見3
融,融,以戎,餘隆,11,切2 王2 王3 余隆 P4747 以戎 広,1:01:東,1:01:東,109b0102,喉音,清濁,喩,羊4
雄,雄,羽弓,羽隆,12,切2 王2 王3 胡隆 P4747 羽弓 広,1:01:東,1:01:東,109b0204,喉音,清濁,于,于3
瞢,瞢,莫中,莫中,13,切2 王2 王3 P2014-1 広,1:01:東,1:01:東,109b0302,唇音,清濁,明,明3
穹,穹,去宮,去隆,14,切2 王2 王3 去弓 P4747 去宮 広,1:01:東,1:01:東,109b0501,牙音,次清,溪,溪3
窮,窮,渠弓,渠隆,15,切2。藭 王2 王3 巨[  ] P2014-1 渠弓 広,1:01:東,1:01:東,109b0602,牙音,全濁,羣,羣3
馮,馮,房戎,扶隆,16,切2 王2 王3 并隆 P2014-1 P2015-1 房戎 広,1:01:東,1:01:東,109b0605,唇音,全濁,奉,並3
風,風,方戎,方隆,17,切2 王2 王3 府隆 P2014-1 P2015-1 式戎 広,1:01:東,1:01:東,109b0803,唇音,全清,非,幫3
豐,豐,敷空,敷隆,18,切2 王2 王3 孚隆 P2014-1 敷空 広,1:01:東,1:01:東,110a0104,唇音,次清,敷,滂3
充,充,昌終,處隆,19,切2 王2 王3 昌終 広,1:01:東,1:01:東,110a0302,齒音,次清,穿三,昌3
隆,隆,力中,力中,20,切2 王2 王3 P4747 広,1:01:東,1:01:東,110a0404,半舌音,清濁,來,来3
空,空,苦紅,苦紅,21,切2 王2 王3 P3798 広,1:01:東,1:01:東,110a0504,牙音,次清,溪,溪1
公,公,古紅,古紅,22,切2 王2 王3 P2014-1 P2016背 広,1:01:東,1:01:東,110a0805,牙音,全清,見,見1
蒙,蒙,莫紅,莫紅,23,切2 王2 王3 P2016背 P3798 広 莫[  ] P2014-1 [  ]紅 広,1:01:東,1:01:東,111a0704,唇音,清濁,明,明1
籠,籠,盧紅,盧紅,24,王2 王3 P3798 広,1:01:東,1:01:東,111b0107,半舌音,清濁,來,来1
洪,洪,戸公,胡籠,25,切2 王2 王3 P3798 戸工 P2014-1 戸公 広,1:01:東,1:01:東,111b0603,喉音,全濁,匣,匣1
叢,叢,徂紅,徂紅,26,切2。藂 王2 王3 P2014-1藂 広,1:01:東,1:01:東,112a0101,齒音,全濁,從,從1
翁,翁,烏紅,烏紅,27,切2 王2 王3 P2014-1 P3798 広,1:01:東,1:01:東,112a0106,喉音,全清,影,影1
怱,忩,倉紅,倉紅,28,切2 王2 王3 P2014-1 広,1:01:東,1:01:東,112a0305,齒音,次清,清,清1
通,通,他紅,他紅,29,切2 王2 王3 P2014-1 P2018 P3798 広,1:01:東,1:01:東,112a0604,舌音,次清,透,透1
葼,葼,子紅,子紅,30,切2 王2 王3 広 祖公 P2014-1,1:01:東,1:01:東,112a0901,齒音,全清,精,精1
蓬,蓬,薄紅,薄紅,31,切2 王3 P2018 P3798 広 薄功 王2 歩紅 P2014-1,1:01:東,1:01:東,112b0204,唇音,全濁,並,並1
